,,Custo projetado de produção  25-26,0,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Custo do ano anterior de produção - 2024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Algodão,,Soja,,Milho,,,,,,,,,,,,,,,,
,,,2025 - 2026 Safra,,,,,,,,,,,3801.367589508236,,1154.559924,,1647.227904,,,,,,,,,,,,,,,,
,,,,,Percentual  da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BRL$,,Receitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vendas de algodão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vendas de soja,,,,,,,,,,,,10327,,392,,691,,,,,,,,,,,,,,,,
,,Vendas de milho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RECEITAS,Vendas de caroço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Subsídio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    Receita Operacional Bruta,,,,,,,0.0353,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Deduções Vendas Tributos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,"Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida",,,,,,,,,,,,,,,,,,,,,,,
,,,0,,"Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida","Se tiver, estes serão removidos diretamente do Receita Liquida",,,,,,,,,,,,,,,,,,,,,,,
,,    Receita Operacional Líquida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,alvo ,,actual ,,Variencia,,,,,,,,,,,,,,,  ,,,,,,,,
,(-) Indenização trabalhistas e ambientais,"(-) Milho Adubo (N,P,K,Calcario)",,,,,,,,,,,,,,Seed,,Chemical,,Fertilizer,Total,,,,,,,,,,,,,
,(-) Multas de Fiscalização,(-) Milho Semente,,,,,,,,,,,,,,Seed,,Chemical,,Fertilizer,Total,,,,,,,,,,,,,
,,(-) Milho Defensivos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(-) Soja Adubo (N,P,K,Calcario)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Soja Semente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Soja Defensivos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(-) Algodão Adubo (N,P,K,Calcario)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Algodão Semente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Algdodão Defensivos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(-) C.P.V (Custo do Produção Vendido),(-) arrendamento,,,,,,,,,0,,,,,Seed,,Chemical,,Fertilizer,Total,,,,,,,,,,,,,
,,"(-) Salários, Provisões e Encargos (fazenda)",,,,,,,,,,,,,116.0925205923788,982142.7242115247,489,4136940,355.9074794076213,3010977.275788476,,,,,,,,,,,,,,
,,(-) Combustível e óleo ,,,,,,,,,,,,,44,17600,290.4639988143208,116185.5995257283,152.93,61172,,,,,,,,,,,,,,
,,(-) Avião,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Depreciação (fazenda),,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,"(-) Manutenção, Concerto e Peças ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Alimentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Contratacao Serviços/Frete (terceiros),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Silo Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Veiculo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Seguros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Suprimentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Utilidades (fazenda),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Aluguel de carro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Serviços profissionais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    Lucro Bruto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(-) Despesas Administrativo,-300000,,,,,,,,,,,,,,,,,,961,8130060,,,,,,,,,,,,
,(-) Total C.P.V,(-) Despesas Frete e Trans,0,,,,,,,,,,,,,Seed,,Chemical,,Fertilizer,Total,,,,,,,,,,,,,
,,(-) Despesas EUA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(-) Despesas Administrativo e Operacionais ,(-) Despesas Comerciais,0,,,,,,,,,,,,,Seed,,Chemical,,Fertilizer,Total,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,709,910356,,,,,,,,,,,,
,,    Lucro Operacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(+/-) Ganho/Perda em activos,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(-) Total Despesas Admin e Operacionais,(+/-) Impostos ,,,,,,,,,,,,,,Seed,,Chemical,,Fertilizer,Total,,,,,,,,,,,,,
,,(+/-) Renda de Juros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(+/-) Outras Receitas e Despesas,(+/-) Despesas de Juros,,,,,,,,,,,,,,Seed,,Chemical,,Fertilizer,Total,,,,,,,,,,,,,
,,(+/-) Receitas diversas,,,,,,,,,,,,,,,,,,,709,910356,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    Lucro Líquido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(+/-) Total Outras Receitas e Despesas,,,,,,,,,,,,,,,Seed,,Chemical,,Fertilizer,Total,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Custo/há,Custo/há,Custo/há,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Custo Operaciona + Arrendametno ,,Sem arrendamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
